"motor:","AeroTech G80T"
"contributor:","John DeMar"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e90000000448/"

"Time (s)","Thrust (N)"
0.006,101.291
0.013,105.18
0.031,103.473
0.038,104.069
0.067,99.803
0.103,96.906
0.181,94.733
0.271,94.039
0.303,96.985
0.367,95.547
0.428,94.842
0.456,97.055
0.463,92.65
0.51,94.872
0.596,93.444
0.606,95.646
0.624,91.985
0.635,95.656
0.646,91.995
0.696,90.547
0.846,85.477
0.96,80.388
1.071,74.564
1.207,62.878
1.296,52.639
1.35,37.252
1.382,20.397
1.418,10.139
1.457,4.281
1.5,0
